index,id,area_name,area_type,incorporation_year,county_incorporation,population_year,total_population,name_type

1637,1152,Florissant,M,1891,Teller,1890,439
1652,878,Fort Collins,M,1883,Larimer,1890,2011
1667,879,Fort Lupton,M,1890,Weld,1890,113
1682,880,Fort Morgan,M,1887,Morgan,1890,488
1697,881,Fountain,M,1903,El Paso,1890,0
1712,882,Fowler,M,1900,Otero,1890,0
1727,883,Foxfield,M,1994,Arapahoe,1890,0
1742,884,Fraser,M,1953,Gilpin,1890,0
1757,885,Frederick,M,1908,Weld,1890,0
1772,1153,Freshwater,M,1897,Park,1890,0
1787,886,Frisco,M,1880,Summit,1890,100
1802,887,Fruita,M,1894,Mesa,1890,0
1817,888,Garden City,M,1938,Weld,1890,0
1832,889,Genoa,M,1925,Lincoln,1890,0
1847,890,Georgetown,M,1868,Clear Creek,1890,1927
1862,891,Gilcrest,M,1912,Weld,1890,0
1877,1158,Gillett,M,1895,El Paso,1890,0
1892,892,Glendale,M,1952,Arapahoe,1890,0
1907,893,Glenwood Springs,M,1885,Garfield,1890,920
1922,1157,Globeville,M,1891,More than One,1890,0
1937,894,Golden,M,1871,Jefferson,1890,2383
1952,1156,Goldfield,M,1899,More than One,1890,0
1967,895,Granada,M,1887,Bent,1890,0
1982,896,Granby,M,1905,Grand,1890,0
1997,897,Grand Junction,M,1882,Mesa,1890,2030
2012,898,Grand Lake,M,1885,Grand,1890,0
2027,1154,Grand Valley,M,1908,Garfield,1890,0
2042,1155,Gray Creek,M,1890,Las Animas,1890,0
2057,899,Greeley,M,1886,Weld,1890,1268
2072,900,Green Mountain Falls,M,1890,El Paso,1890,0
2087,901,Greenwood Village,M,1950,Arapahoe,1890,0
2102,902,Grover,M,1916,Weld,1890,0
2117,1126,Guadalupe,M,1885,Conejos,1890,0
2132,903,Gunnison,M,1880,Gunnison,1890,1105
2147,904,Gypsum,M,1911,Eagle,1890,0
2162,1136,Harman,M,1886,Arapahoe,1890,743
2177,905,Hartman,M,1910,Prowers,1890,0
2192,906,Haswell,M,1920,Kiowa,1890,0
2207,907,Haxtun,M,1909,Phillips,1890,0
2222,908,Hayden,M,1885,Routt,1890,0
2237,909,Hillrose,M,1919,Morgan,1890,0
2252,910,Holly,M,1903,Prowers,1890,0
2267,911,Holyoke,M,1888,Logan,1890,649
2282,912,Hooper,M,1898,Costilla,1890,0
2297,914,Hot Sulphur Springs,M,1903,Grand,1890,0
2312,913,Hotchkiss,M,1901,Delta,1890,0
2327,915,Hudson,M,1914,Weld,1890,0
2342,916,Hugo,M,1909,Lincoln,1890,0
2357,917,Idaho Springs,M,1878,Clear Creek,1890,1338
2372,918,Ignacio,M,1913,La Plata,1890,0
2387,919,Iliff,M,1914,Logan,1890,0
2402,1159,Irondale,M,1926,Adams,1890,0
2417,1160,Ironton,M,1884,Ouray,1890,323
2432,1161,Irwin,M,1880,Gunnison,1890,45
2447,920,Jamestown,M,1883,Boulder,1890,212
2462,921,Johnstown,M,1907,Weld,1890,0
2477,922,Julesburg,M,1886,Weld,1890,202
2492,923,Keenesburg,M,1919,Weld,1890,0
2507,1121,Keota,M,,Weld,1890,0
2522,924,Kersey,M,1908,Weld,1890,0
2537,925,Kim,M,1974,Las Animas,1890,0
2552,926,Kiowa,M,1886,Elbert,1890,0
2567,927,Kit Carson,M,1931,Cheyenne,1890,0
2582,1127,Kokomo,M,1879,Summit,1890,192
2597,928,Kremmling,M,1904,Grand,1890,0
2612,930,La Jara,M,1885,Conejos,1890,0
2627,931,La Junta,M,1881,Bent,1890,1439
2642,937,La Salle,M,1910,Weld,1890,0
2657,939,La Veta,M,1886,Huerfano,1890,361
2672,929,Lafayette,M,1890,Boulder,1890,410
2687,932,Lake City,M,1884,Hinsdale,1890,607
2702,933,Lakeside,M,1907,Jefferson,1890,0
